구분,유저,챗봇
감각신경성 난청,이명이 들리고 어지러워요.,감각신경성 난청인거 같아요! 최대한 빨리 이비인후과에 방문해주세요!!
고막염,이물감이 있고 이명이 들려요.,고막염인거 같아요! 수영을 당분간 자제하고 항생제를 복용해야해요!! 이비인후과에 방문해주세요
급성 중이염,머리가 아프고 이명이 들려요.,급성 중이염일 수 있어요! 이비인후과에 방문해주세요 5~10일정도 항생제와 진통제를 드셔야해요
급성 중이염,귀에서 물같은게 나와요.,급성 중이염인거 같아요! 이비인후과에 방문해주세요 5~10일정도 항생제와 진통제를 드셔야해요!!
급성 중이염,귀에서 고름이 나오고 아파요.,급성 중이염인거 같아요! 이비인후과에 방문해주세요 5~10일정도 항생제와 진통제를 드셔야해요!
난청,어지럽고 이명이 들려요.,난청 증상인거 같아요! 이비인후과에 방문해주세요 약물치료나 수술이 필요해요!!	
난청,소리가 잘 안들리고 아파요.,난청 증상인거 같아요! 이비인후과에 방문해주세요 약물치료나 수술이 필요해요!!
노인성 난청,소리가 잘 안들려요.,나이가 많다면 노인성 난청인거 같아요! 이비인후과에 방문해주세요 보청기를 사용하면 좋아요!
만성 중이염,귀에서 냄새가 나고 뭐가 나와요.,만성 중이염인거 같아요! 이비인후과에 방문해주세요 염증에 대한 약물 치료가 필요해요!!
만성 중이염,소리가 잘 안들리고 어지러워요.	,만성 중이염인거 같아요! 이비인후과에 방문해주세요 염증에 대한 약물 치료가 필요해요!
만성 중이염,이명이 들리고 아파요.,만성 중이염인거 같아요! 이비인후과에 방문해주세요 염증에 대한 약물 치료가 필요해요!
메니에르병,이명이 들리고 소리가 잘 안들려요.,메니에르병인거 같아요! 이비인후과에 방문해주세요 저염식 식단조절과 약물치료가 필요해요!
메니에르병,소리가 잘 안들리고 어지러워요.,메니에르병인거 같아요! 이비인후과에 방문해주세요 저염식 식단조절과 약물치료가 필요해요!
미로염,어지럽고 소리를 잘 안들려요.,미로염인거 같아요! 이비인후과에 방문해주세요 증상이 나타날 때 눈을 감아주세요! 약물치료가 필요해요!
외이도염,귀가 아프고 악취가 나요.,외이도염인거 같아요! 이비인후과에 방문해주세요 귀를 깨끗하게 소독하고 항생제로 치료해야 합니다
외이도염,귀에서 뭐가 나오고 악취가 나요.,외이도염인거 같아요! 이비인후과에 방문해주세요 귀를 깨끗하게 소독하고 항생제로 치료해야 합니다!
부비동염,냄새를 맡기 힘들고 열이 나요.,부비동염인거 같아요!  이비인후과에 방문해주세요
부비동염,구토를 하고 목이 아파요.	,부비동염인거 같아요!  이비인후과에 방문해주세요
부비동염,코가 막히고 콧물이 나요.	,부비동염인거 같아요!  이비인후과에 방문해주세요
비출,코피가 나요.,비출혈인거 같아요! 얼음 혹은 찬물로 찜질을 하면 좋아요! 고개를 젖히지 말고 아래로 해주세요!
수면 무호흡증,코골이가 심하고 잘 때 숨을 쉬기 어려워요.,수면 무호흡증인거 같아요! 호흡 보조장치를 사용하면 치료에 큰 도움이 돼요! 이비인후과에 방문해주세요
인후두염	,목소리가 변했어요.,인후두염인거 같아요! 안정을 취하고 물을 많이 마셔주세요! 술과 담배는 금지에요
인후두염,음식이나 물을 삼키기 어려워요.,인후두염인거 같아요! 이비인후과에 방문해주세요 안정을 취하고 물을 많이 마셔주세요! 술과 담배는 금지에요!
인후두염,목에 뭐가 걸린 느낌이 들어요.,인후두염인거 같아요! 이비인후과에 방문해주세요 안정을 취하고 물을 많이 마셔주세요! 술과 담배는 금지에요!
편도선염,편도선이 붓고 목이 너무 아파요.,편도선염인거같아요! 이비인후과에 방문해주세요 충분히 휴식하고 물을 많이 마셔주세요! 많이 아프시면 소염 진통제를 복용해주세요!
